id,raw_correct,raw_wrong_mean,margin_raw,csls_correct,csls_wrong_mean,margin_csls,margin 변화
cat_string_toy,0.3605,0.2275,0.133,0.277,0.006,0.271,0.138
cooking_thermometer,0.3242,0.219,0.1052,0.2207,0.0137,0.207,0.1018
van_driving,0.3059,0.2178,0.0881,0.1621,-0.0011,0.1631,0.075
dog_park,0.2946,0.2577,0.0369,0.1286,0.0504,0.0783,0.0413
horse_herd,0.3026,0.2262,0.0764,0.1404,0.0007,0.1397,0.0633
guitar_play,0.2855,0.2237,0.0617,0.138,-0.0119,0.1499,0.0882
people_dancing,0.2997,0.2241,0.0755,0.1199,-0.0203,0.1402,0.0647
bicycle_ride,0.2306,0.2092,0.0214,0.0083,-0.0221,0.0304,0.009
