id,single(중간1장),방법1_선명도,방법2_정답점수만,방법3_평균pooling,방식B_오답활용(이론적최선),선명한 프레임 idx,정답점수 최고 idx
cat_string_toy,0.6664,0.6671,0.6664,0.5626,0.7683,3,2
cooking_thermometer,0.6573,0.6624,0.6608,0.6744,0.7307,4,3
van_driving,0.6715,0.6715,0.6715,0.1739,0.6715,2,2
dog_park,0.0948,0.0948,0.3652,0.3006,0.6437,2,3
horse_herd,-0.1116,-0.1116,0.9778,0.5099,0.9778,2,3
guitar_play,0.9628,0.9699,0.9699,0.9665,0.975,1,1
people_dancing,0.7156,0.7156,0.7156,0.6238,0.8881,2,2
bicycle_ride,0.936,0.0109,0.936,0.2081,0.936,1,2
