clip_dir,n_sentences,correlation,p_value
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/03,8,-0.08593000782454137,0.8396726087411549
<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_3/01,7,-0.03603749850782236,0.938860561394214
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_3/03,7,0.7567874686642696,0.04890509913472633
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_19/02,6,-0.6789347398332045,0.13807618266889354
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_16/04,6,-0.21251185925162072,0.6860308660088958
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_10/04,7,0.07484811885651198,0.8732895151527635
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_7/01,7,0.0,1.0
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/02,7,0.4490887131390719,0.3120984397924344
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_21/01,6,0.8827348295047495,0.01982041658888203
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_9/04,6,0.7061878636037996,0.11680660694745583
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_7/02,7,-0.3742405942825599,0.40820942711033725
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_7/03,7,0.592999453328881,0.16052191228369223
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_7/04,7,-0.0727392967453308,0.8768403578473787
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_10/01,7,-0.43643578047198484,0.32758249926618493
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_4/04,7,-0.054056247761733546,0.9083652825239955
<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_3/03,8,-0.7319250547113999,0.03899827398782236
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/02,8,0.38054717750868317,0.35236799253354084
