id,clip_single,clip_indep,clip_byframe,blip_single,blip_indep,blip_byframe
cat_string_toy,0.133,0.1039,0.1342,0.6664,0.6618,0.7683
cooking_thermometer,0.1052,0.0899,0.108,0.6565,0.6573,0.7307
van_driving,0.0881,0.0834,0.0887,0.6712,0.6715,0.6715
dog_park,0.0369,0.0496,0.0861,0.0961,0.3652,0.6437
horse_herd,0.0764,0.0878,0.105,-0.1054,0.5078,0.9778
guitar_play,0.0617,0.0609,0.0671,0.9687,0.9629,0.975
people_dancing,0.0755,0.0609,0.0734,0.7171,0.5414,0.8881
bicycle_ride,0.0214,0.015,0.0222,0.915,0.9295,0.936
