clip_dir,n_sentences,n_event_sentences,correlation_all,correlation_event_only
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_7/03,7,0,0.592999453328881,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_7/04,7,2,-0.0727392967453308,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_10/01,7,0,-0.43643578047198484,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_4/04,7,2,-0.054056247761733546,
<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_3/03,8,2,-0.7319250547113999,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/02,8,3,0.38054717750868317,0.5
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/02,8,3,0.33737388489831593,0.8660254037844387
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_20/01,8,1,0.4578645580762859,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_7/02,8,1,-0.3958773192850676,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_5/03,7,1,-0.10811249552346709,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_10/04,8,0,0.04819626927118799,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,8,2,-0.04819626927118799,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/02,6,0,0.5246313898711126,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_29/01,7,0,0.5426488617097118,
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/03,8,1,-0.2515015150017844,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_8/02,8,3,-0.26837252006084666,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_3/03,7,0,0.0,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_9/04,6,0,0.23904572186687875,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_5/04,7,1,0.2909571869813232,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_14/03,7,0,0.47809144373375745,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/02,5,0,-0.6,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_5/02,9,0,0.6497862896539309,
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_4/04,7,0,0.7041868508280462,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_1/02,7,2,0.594618725379069,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_5/04,7,2,-0.0181848241863327,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/03,8,3,0.03592878785739777,0.5
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_8/04,8,1,0.28917761562712796,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_3/04,7,1,0.16216874328520064,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_30/02,6,1,-0.6087595874350709,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_11/01,7,2,-0.5585812268712466,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_16/01,7,1,-0.4684874806016907,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_23/03,7,3,0.09851380077988758,-0.8660254037844387
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_4/01,8,1,-0.21821789023599236,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_29/01,9,0,0.3952847075210474,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,6,1,0.6761234037828133,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/03,9,4,0.1191759143062248,0.7745966692414834
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_6/03,8,2,-0.20483414440254896,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_26/04,7,0,-0.2000330660496597,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,8,4,-0.3233590907165799,0.39999999999999997
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/03,8,2,0.37126414119311024,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_3/04,8,2,0.265079480991534,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_2/01,8,3,0.038310708317909774,0.5
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_5/01,8,2,-0.22830583024432846,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_26/03,6,2,-0.3530939318018998,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_2/02,8,2,0.14824986333222026,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_1/04,4,2,0.0,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_15/02,7,1,0.0,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_3/02,9,1,0.5401276624446222,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_20/03,6,2,0.26482044885142486,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/04,6,2,0.8406680016960503,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_8/02,6,2,0.09107651110783746,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_10/01,8,1,0.32732683535398854,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_4/03,8,3,0.5904042985720529,0.5
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_19/04,8,1,0.5389318178609664,
